ID;learningObjectID;learningType;title;description;learningObjectivesSteam;learningObjectives;durationInHours;videoDuration;directLink;contentAvailableFrom;level;role;lscProduct;lscProductCategory;lscProductSubcategory;relatedExams;relatedExamRetirementDate;alternateCertification;certificationRetirement
c10afb1d-a0c2-478e-a043-2d6edba1e05c;S43D;Standalone course;SAP S/4HANA Cloud Private Edition, Asset Management ;"<p>Learn about the major enhancements for certification ""SAP Certified Associate - SAP S/4HANA Cloud Private Edition, Asset Management"" to prepare for the assessment to stay certified.</p>";;;360;;https://learning.sap.com/courses/sap-s-4hana-cloud-private-edition-asset-management;;BEGINNER;consultant;;;;;;;
e319f0e9-66cb-4fb4-8ef6-295c110e6c14;TS462D;Standalone course;SAP S/4HANA Cloud Private Edition, Sales;"<p>Learn about the major enhancements for certification ""SAP Certified Associate - SAP S/4HANA Cloud Private Edition, Sales"" to prepare for the assessment to stay certified.</p>";;;180;;https://learning.sap.com/courses/sap-s-4hana-cloud-private-edition-sales;;NONE;consultant;;;;;;;
73c61849-6cd1-41a8-8731-cab0d2a34916;TS414D;Standalone course;SAP S/4HANA Cloud Private Edition, Quality Management;"<p>Learn about the major enhancements for certification ""SAP Certified Associate - SAP S/4HANA Cloud Private Edition, Quality Management"" to prepare for the assessment to stay certified</p>";;;165;;https://learning.sap.com/courses/sap-s-4hana-cloud-private-edition-quality-management;;NONE;consultant;;;;;;;
903bca3a-b282-407d-868a-125a7ce15a56;S4C140;Practice System;Accessing Sourcing and Procurement Data;<p>Accessing Sourcing and Procurement Data</p>;;;;;https://learning.sap.com/practice-systems/accessing-sourcing-and-procurement-data;2025-10-22 07:54:40.243000;;;SAP S/4HANA Cloud;Enterprise Management;Enterprise Resource Planning;;;;
b129aa7d-06f4-47ce-b9be-9569b8eda857;S47100;Practice System;Configuring Master Data and Organization in SAP S/4HANA Cloud Private Edition for Service;;;;;;https://learning.sap.com/practice-systems/configuring-master-data-and-organization-in-sap-s-4hana-cloud-private-edition-service;2025-10-21 08:03:39.429000;;;SAP S/4HANA;Enterprise Management;Enterprise Resource Planning;;;;
be609f0f-ee05-4010-bd89-29c91c4d55a5;LSC00292;Learning Journey;Administering SAP Integration Suite, managed gateway for spend management and SAP Business Network;"<p>This advanced learning journey will provide insight into the key administrative activities, core aspects, capabilities, and configuration activities of various applications involved in the typical integration landscape for integrating SAP Business Network and SAP Ariba Applications such as SAP Ariba Buying and Invoicing, and SAP Ariba Sourcing with &nbsp;SAP ERP Central Component (SAP ECC) and SAP S/4HANA using SAP Integration Suite, managed gateway for spend management and SAP Business Network.&nbsp;</p>";;"<p>After completing this learning journey, Business Analysts, Consultants, Solution Architects, and Administrators will have a thorough understanding of the required configuration objects, intricacies, and purpose of each configuration object, and will be able to successfully configure the integration landscape end-to-end using SAP Integration Suite, managed gateway for spend management and SAP Business Network. &nbsp;</p>";14.25;;https://learning.sap.com/learning-journeys/administering-sap-integration-suite-managed-gateway-for-spend-management-and-sap-business-network;2025-10-22 13:29:34.935000;ADVANCED;consultant,data_scientist,architect,administrator;SAP Integration Suite, managed gateway for spend mgmt and SAP Business Network for SAP S/4HANA;Intelligent Spend Management;Cross Supplier Relationship Management;;;;
0426482f-f620-4f2c-b6d5-48d90b7c7d7a;19691632-e34-457d-e4-3f5c2c7f0800000;Video playlist;Working with Technical Features in SAP Emarsys;Master the technical aspects of SAP Emarsys. Explore integration steps, plugins, and scripting to effectively implement real-time data solutions.;;;4127;;https://learning.sap.com/video-playlists/working-with-technical-features-in-sap-emarsys;2025-10-10 18:34:35.920000;ADVANCED;architect,customer_success_manager,administrator;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
8bfd0861-646c-4e59-bbfb-5b9301eec6f9;1_vdakt5ll;Video;Setting Up Standard Connector for SAP Customer Data Cloud and SAP Emarsys;"<div><div><p>Learn how to integrate SAP Customer Data Cloud&nbsp;with SAP Emarsys using the Standard Connector. Sync customer data for personalization, consent management, and omnichannel messaging. Optimize your use of contact data effectively.</p></div></div>";;;;350;https://learning.sap.com/videos/setting-up-standard-connector-for-sap-customer-data-cloud-and-sap-emarsys-1;2025-09-26 01:30:04.711000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
019a755c-915e-4857-b78d-815f5eccbdcd;1_6lo6cj39;Video;Creating Webhook Node Presets in SAP Emarsys;"<div><div><div>In this video, learn how to set up webhook node presets to connect SAP Emarsys with SAP Sales Cloud. Follow the&nbsp;steps to create presets for automation, ensuring secure configuration and seamless integration to enhance your marketing tactics.</div></div></div>";;;;305;https://learning.sap.com/videos/creating-webhook-node-presets-in-sap-emarsys;2025-10-01 13:57:43.535000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
20768d49-6070-4b17-bd81-970505c2f50e;1_wrrdiazc;Video;Setting Up Standard Connector for SAP Customer Data Platform and SAP Emarsys;<div><div>Learn to connect SAP Customer Data Platform (CDP) to SAP Emarsys, combining data from multiple sources into unified customer profiles. Discover setup steps, schema adjustments, and the Direct Data Access feature for enhanced personalization and segmentation via SAP HANA Cloud.</div></div>;;;;351;https://learning.sap.com/videos/setting-up-standard-connector-for-sap-customer-data-platform-and-sap-emarsys;2025-10-10 18:30:28.026000;ADVANCED;;SAP Emarsys;CRM and Customer Experience;Marketing;;;;
